,details,Etat,Marque,Prix,Adresse,Image_link
18,"<h1 class=""listing-item__header"">
    Dell inspiron Ryzen 7 /16Go/512ssd
</h1>",Neuf,Dell,450 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1507285bc711c075652f9f6a9c6e68a7/-/horizon-files-prod/ed/picture/qgqwr559/84042ad655e294cb04ea00610df790130703fbd1.jpg
19,"<h1 class=""listing-item__header"">
    Hp Omen 17 RTX 4070
</h1>",Neuf,HP,950 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a07801800c30c61f7a8a8c027e310f3b/-/horizon-files-prod/ed/picture/qpdm4ddj/0b9a535cbd4983ae90820c10a651c32527e1f614.jpg
20,"<h1 class=""listing-item__header"">
    Lenovo ideapad 3 ryzen 7 /12Go/512ssd
</h1>",Neuf,Lenovo,350 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/28972178a27a4d74f1f3537d8a868582/-/horizon-files-prod/ed/picture/q6xk9406/93b22db900ad0cfdb38c379b4aacfc126c37b295.jpg
21,"<h1 class=""listing-item__header"">
    Hp elitebook 840 g5
</h1>",D'occasion,HP,175 000 ,Gueule-Tapée,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3281e8892a4dc1960925e3dbe80d0904/-/horizon-files-prod/ed/picture/qq42wwgw/eb3253c670dbb5b3855d3286b5858b1448d27a9f.jpg
22,"<h1 class=""listing-item__header"">
    Mini Dell Latitude 3189
</h1>",Venant,Dell,85 000 ,Gueule-Tapée,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34f8d4a59003e9b401c63aed6c0537ba/-/horizon-files-prod/ed/picture/qpdm4rqv/46bb49a64adc0c22e51b0ad379c4d2b45082f54e.jpg
23,"<h1 class=""listing-item__header"">
    MacBook Pro 2019 15pouce.
</h1>",Venant,Apple,400 000 ,Liberte 6,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6edf2d3f2901ccbb182f029c8a9740d0/-/horizon-files-prod/ed/picture/q8v4w2q4/c32f6f8c899c24f537887a7b0b53b45db8e85797.jpg
24,"<h1 class=""listing-item__header"">
    Lenovo Thinkpad T14 Cor i5 10ème Gén
</h1>",Neuf,Lenovo,225 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6719cc09ec0fe59348364dec22253217/-/horizon-files-prod/ed/picture/qj4qd8qe/9a2e83b8be5f0bfbe540dfb61390ca77f6230305.jpg
25,"<h1 class=""listing-item__header"">
    Asus X415J Cor i5 10ème Gén
</h1>",Venant,ASUS,195 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c65b5f69945c98998490948170af48fa/-/horizon-files-prod/ed/picture/qenv8nz4/b2ace64620e561e09a75f14314b0595c346ba22b.jpg
26,"<h1 class=""listing-item__header"">
    DELL Latitude 5410 Cor i5 10ème Gén
</h1>",Neuf,Dell,230 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/052f82fd64d9efd1268912f25f7c1545/-/horizon-files-prod/ed/picture/qxjpnmew/a7aa85e99b17abc771d51d9fa25f98c9bc2da12e.jpg
27,"<h1 class=""listing-item__header"">
    DELL Latitude 7290 Cor i7
</h1>",Venant,Dell,195 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0494d65d656acb3818cc73f62ed140fb/-/horizon-files-prod/ed/picture/q78wdrv8/886184a189dfcccc75d9f6ce8c808bad304f8519.jpg
