,details,Etat,Marque,Prix,Adresse,Image_link
436,"<h1 class=""listing-item__header"">
    Télé à vendre
</h1>",D'occasion,Nasco,65 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/43982600d7139020333a2143fa662d1c/-/horizon-files-prod/ed/picture/qpdmr00v/e6ef36971e1629a6c190a71bd4b305e7c42a036b.jpg
437,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR WIWLIL 55"" SMART 55QB6W
</h1>",Neuf,Autre,205 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/46c1d4dfa72799733fa8689dd7d5ca02/-/horizon-files-prod/ed/picture/q56dq9x7/2de5e8873a11be844ae8dde1c217a745535e8a0a.jpg
438,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 65POUCES SAMSUNG SMART 4K UA65CU7100KXXT
</h1>",Neuf,Samsung,479 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0930bf093aa71829ca33e1e5e97a6834/-/horizon-files-prod/ed/picture/q44nw08m/9561f885c5a36366a53622730e18b493c836d8f2.jpg
439,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR WOW 65"" SMART ANDROÏDE 4k WA65SU7200C3
</h1>",Neuf,Autre,289 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c4b0a9abfb9d8314c5d792d62139fa3/-/horizon-files-prod/ed/picture/q8v4rpzj/2be6c07d57ce043f25e5efda98e4ea0d77a38b7e.jpg
440,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 65POUCES ASTECH SMART ANDROID 65C111D
</h1>",Neuf,Astech,359 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/10b976aab6054209f942c54518e07772/-/horizon-files-prod/ed/picture/qwep0g2k/cf0507bf76a07394618621ac2776253d7577954b.jpg
441,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 65POUCES SOLSTAR SMART ANDROID 65HSU6200SS
</h1>",Neuf,Autre,349 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/633712e396be54c7d56fa0eeecb6ae22/-/horizon-files-prod/ed/picture/qrz8mnv2/5c83a8c1ad575062a72d8bb208aff5721049e4f0.jpg
442,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 65POUCES TCL SMART ANDROID 4K 65P635/65P755
</h1>",Neuf,TCL,359 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5198053960280b39625af1392da507a4/-/horizon-files-prod/ed/picture/qngp87de/93104303657eabb134401add175b115b287c29d1.jpg
443,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR SMART TECHNOLOGY 65 SMART
</h1>",Neuf,Autre,289 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0ec71cf5a2ac7a6f7dc3773d0005b41/-/horizon-files-prod/ed/picture/q78w4p7d/8e23f5e3ea6b827e3fb18f6906f65d443539c75f.jpg
444,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 65POUCES HISENSE LED SMART UHD 4K VIDAA 65A6K
</h1>",Neuf,Hisense,359 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6a3c55fb6897ed9ccf940e970e0d879/-/horizon-files-prod/ed/picture/q6xd8n64/8cc0b01eb7d66d077bbc61cb38485b64ad32c235.jpg
445,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR TEKO 65"" SMART 65KBF1W
</h1>",Neuf,Autre,289 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4e2fa3ef19359c4f794b13cf2a0e89d/-/horizon-files-prod/ed/picture/qzvpwz46/7acad7edba0d53d1a09365f7852018d9a9b481fe.jpg
446,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 65POUCES ELACTRON QLED SMART ANDROID TS6561AS
</h1>",Neuf,Elactron,349 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7f64027937ae3419158bfa62670e114/-/horizon-files-prod/ed/picture/q56dq94g/17859fb4ed4324e4e0fab1aee38725755aab0f75.jpg
447,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 55POUCES LG SMART 4K UQ75006LG
</h1>",Neuf,LG,329 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c39d72e1f84da247ce7b3095765d4ff4/-/horizon-files-prod/ed/picture/qrz8mnq2/6f9c405e51d6541d18b53011aec34afe765eee06.jpg
448,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 55POUCES LG UR73006LA PVG 4K + TELECOMANDE
</h1>",Neuf,LG,329 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d7e211394ee8fa1ec69d809d9e1c372/-/horizon-files-prod/ed/picture/q78w4p8d/5bf7b9c9014dfd525f9be35d03f1fbd12b3c0bf3.jpg
449,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 50POUCES LG SMART UHD 4K UP7550PVG
</h1>",Neuf,LG,289 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2d4f3331776e63d00023da4ed98971ed/-/horizon-files-prod/ed/picture/qgqw7pq9/8d7ab7c149ce5a4919313a2f58a1ef2d53c7cde5.jpg
450,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR AMAZ 65"" LED SMART ANDROID
</h1>",Neuf,Autre,289 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fff159256aeb2ca704c2719cd9693e5e/-/horizon-files-prod/ed/picture/q8v4rmj9/0ffa89b7b304086a171715c4650da620101960e4.jpg
451,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR WIWLIL 65"" SMART 65QBF1W
</h1>",Neuf,Autre,289 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f357b06c50f69332a40ce251abe97e9/-/horizon-files-prod/ed/picture/q2j09kp8/f531438f682ba74c168207f16c1642699896b3d9.jpg
452,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 55POUCES HISENSE SMART VIDAA UHD 4K 55A6M
</h1>",Neuf,Hisense,259 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac7b3aff03078dace6c169a8d0c267ff/-/horizon-files-prod/ed/picture/qde7m0r2/87935ca9f2638d27a8806778cf883577cdd43359.jpg
453,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 55POUCES TCL SMART ANDROID 4K UHD 55V6B
</h1>",Neuf,TCL,249 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1df533858eda6bb2cad279316a8b9514/-/horizon-files-prod/ed/picture/qrz8mrd2/cc61f420587db796d5477f251946cb78c1748879.jpg
454,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR WEST 65"" SMART ANDROÏDE 65ZBC8C
</h1>",Neuf,Autre,289 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/44ea05c49492c0c6cc0d53eb8bc4eeba/-/horizon-files-prod/ed/picture/q0g7vkq6/87cafb0ef98f788f4d80c61e51d81b160baf7c25.jpg
455,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 55POUCES ELACTRON QLED SMART ANDROID
</h1>",Neuf,Elactron,249 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a56be13c31c03e7cc3da300ac10a3bcc/-/horizon-files-prod/ed/picture/qde7m9v8/c9b6d248b65f1af7ad65cd9b1670fd4f46de7fc5.jpg
456,"<h1 class=""listing-item__header"">
    Promo téléviseur hisense 55 pouces
</h1>",Neuf,Hisense,275 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c062e5758d53528709d83d92d0324866/-/horizon-files-prod/ed/picture/qm5ggz62/524f6aa5ebad3b23f53d6896700a60ede52fd78b.jpg
457,"<h1 class=""listing-item__header"">
    TELEVISEUR DESKA 43 pouces SMART
</h1>",Neuf,Autre,125 000 ,Grand-Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/59f316ddc7a7a3398a538f61019f6fc2/-/horizon-files-prod/ed/picture/qj4qj9ww/9714cace1282344d405389979cf8c867b04e4b76.jpg
458,"<h1 class=""listing-item__header"">
    ASTECH 50 SMART TV WIFI 4K ANDROID PROMOTIONS
</h1>",Neuf,Astech,225 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01c2d6fd67108eafc0283f625681d1a9/-/horizon-files-prod/ed/picture/qj4qdw54/f021dee79463620c75526b0b682633a533c5e719.jpg
459,"<h1 class=""listing-item__header"">
    Téléviseur Amaz 32 Pouces Android
</h1>",Neuf,Autre,65 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ef5627070ffee71caea5dc72c21a38b2/-/horizon-files-prod/ed/picture/qkr8d882/58cf6be5015eabbb2139c739eb3af4b88f3f5bc7.jpg
460,"<h1 class=""listing-item__header"">
    SAMSUNG 55 POUCES DU7010 LY 4K UHD 138 CM WIFI USB
</h1>",Neuf,Samsung,350 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62aeb43d5e3dca29cd5a078689fba32e/-/horizon-files-prod/ed/picture/qenvm7p9/9b0da33fafb7faa29e00b416abda60796a3ec511.jpg
461,"<h1 class=""listing-item__header"">
    Tv 43 pouce west smart tv
</h1>",Neuf,Autre,110 000 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6dfdd995f3b595e3f0e7beb027b9cd27/-/horizon-files-prod/ed/picture/q0g7x49w/682560be352436055dcd1c10627e5ec272a55e10.jpg
462,"<h1 class=""listing-item__header"">
    Smart tv 43astech
</h1>",Neuf,Astech,130 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3a0a15d94a55b5f33fc4e9096d288d03/-/horizon-files-prod/ed/picture/q9mjxjqw/edfccfda95ea4c8f9102372e97159d7481cba44b.jpg
463,"<h1 class=""listing-item__header"">
    SUPPORT TV 26 63
</h1>",Neuf,Autre,12 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34fe01f9940ce1e6007ee6ae24a002a0/-/horizon-files-prod/ed/picture/q44nwn99/94aca6ec89a9533f94c2dec6e059a69d9a2f8a53.jpg
464,"<h1 class=""listing-item__header"">
    SUPPORT TV 32 75 C55
</h1>",Neuf,Autre,14 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aca56b6b09f3a1b3e83fff77a3505da8/-/horizon-files-prod/ed/picture/qngp8pvz/bec1ddd2dfd4ba4378499b26f011de3d40bf2b3a.jpg
465,"<h1 class=""listing-item__header"">
    SUPPORT TV 30 80 CK2407
</h1>",Neuf,Autre,18 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/be6524d176831416421df7349a8848a3/-/horizon-files-prod/ed/picture/q0g7v76d/e227f71333345ed4cecd25e09216e039fb436a28.jpg
466,"<h1 class=""listing-item__header"">
    SUPPORT TV PIVOTAGE 32-70 CP850
</h1>",Neuf,Autre,29 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1a07821664dba2a35e99acc9c25f9e8/-/horizon-files-prod/ed/picture/q6xd8dwn/f6d880760cc27515393932d1a764e4ae29c98eb4.jpg
467,"<h1 class=""listing-item__header"">
    SMART TV AIWA 55 POUCES WIFI 4K 139 CM
</h1>",Neuf,Autre,275 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0de29d989dbbfa560f7f1d880564e64c/-/horizon-files-prod/ed/picture/qnkzwje/034431d6a006c9ef1448b7bebb691e01cb7727f7.jpg
468,"<h1 class=""listing-item__header"">
    Smart TV LED Full HD 1080p de 43 pouces de VIZIO
</h1>",Neuf,TCL,135 000 ,Parcelles Assainies,https://i.roamcdn.net/hz/ed/listing-thumb-543w/980decaa88ce06a27c4028b7bc5f792b/-/horizon-files-prod/ed/picture/q2j090wp/ae90007141eea96710d06f47bb64e0b4514e5fe3.png
469,"<h1 class=""listing-item__header"">
    Télévision Android Hisense 65pouces
</h1>",Neuf,Hisense,350 000 ,Guediawaye,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f6942cd21fd960292350c7d6ae3c852c/-/horizon-files-prod/ed/picture/qxjp924n/bc8f3a39be182f8f2212ea2dacf2ca72d587b9f6.jpg
470,"<h1 class=""listing-item__header"">
    Samsung Crystal UHD 75
</h1>",Neuf,Samsung,950 000 ,Parcelles Assainies,https://i.roamcdn.net/hz/ed/listing-thumb-543w/88f8a2ac5d1d2fdbc7355a7d4e3a5de4/-/horizon-files-prod/ed/picture/qm5g968q/3d6124d971ce532a1b1349a92b2035e7a73e2f6d.jpg
471,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 70POUCES HISENSE SMART UHD 4K 70A6K
</h1>",Neuf,Hisense,498 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b115d7b7b6c4b9761b1bfb747d38d131/-/horizon-files-prod/ed/picture/q8v4r5rj/ecdcfd7a10622ff24f7ee8e814af0d157f562238.jpg
472,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 75POUCES HISENSE LED SMART VIDAA 4K QLED
</h1>",Neuf,Hisense,589 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/09448d2a66774f456401da1c0d5a510a/-/horizon-files-prod/ed/picture/qq42x7xj/862392611b5856e5e912c92cea95b9c26fb6bd52.jpg
473,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR HISENSE 65POUCES ULED SMART VIDAA
</h1>",Neuf,Hisense,598 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c1d1eb3f381258c627efe6da42a4920/-/horizon-files-prod/ed/picture/qv4wvevv/240bd8e0a5c80aab017cc1da6d5fa01ec726032a.jpg
474,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 85POUCES HISENSE LED SMART VIDAA
</h1>",Neuf,Hisense,835 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7be8b3339f6a71ab4690b2706f74b8f0/-/horizon-files-prod/ed/picture/qngp8x89/f18db9af46015964d74160c4619291066fd22717.jpg
475,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 65POUCES HISENSE LED SMART UHD 4K VIDAA
</h1>",Neuf,Hisense,359 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9185a114f09cac3a0dd98cc7d7ee926/-/horizon-files-prod/ed/picture/q56dqx2e/69814c77871527cfcbcd5151c6652bbc584ac940.jpg
476,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 58POUCED HISENSE LED UHD 4K SMART VIDAA
</h1>",Neuf,Hisense,298 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0aed0eb27082b65762dd89689d842761/-/horizon-files-prod/ed/picture/qv4wve4m/b456bb1a64c50b865448885a6c48f4e2dd3dd907.jpg
477,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 55POUCES HISENSE SMART VIDAA UHD 4K 55A6M
</h1>",Neuf,Hisense,269 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d94fe9f9f301ba73c055258a8b19bcd1/-/horizon-files-prod/ed/picture/q0g7vwxw/3cc458ceeba0c300fce94a978f8b609a4a144d38.jpg
478,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 50POUCES HISENSE SMART VIDA UHD 50A6N
</h1>",Neuf,Hisense,229 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/25143b5872b5e1e9352625153586ee5f/-/horizon-files-prod/ed/picture/qenvzqj6/3719cef9a06305e21cd00db22e31b8a2c2c8376b.jpg
479,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 43POUCES  HISENSE SMART VIDAA 43A4K
</h1>",Neuf,Hisense,139 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/87a874a95fc50d5644c1e7a0de0380e6/-/horizon-files-prod/ed/picture/qkr8ngvn/60fb39453a1fc56e0a483c747e2092eebb1a8cfe.jpg
480,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 40POUCES HISENSE LED SMART VIDAA 40A4K
</h1>",Neuf,Hisense,129 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de8f6138d4d3db4d9bf20bc7c9a69aa4/-/horizon-files-prod/ed/picture/q44nw8qp/f1d516c2420fc55ce35791751fabe4922e6ff8b7.jpg
481,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR HESENSE 75"" LED SMART 4 K VIDAA
</h1>",Neuf,Hisense,498 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd61c3dca8b58319c1636e51b7cc29e2/-/horizon-files-prod/ed/picture/qm5gd6n2/1d38b901d4e4efc9413d9f355414dabb10fa10c9.jpg
482,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 32POUCES HISENSE SMART VIDAA 32A4GS
</h1>",Neuf,Hisense,89 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c89f7e7606f8911f7f0b9792d12e70b/-/horizon-files-prod/ed/picture/qv4wve5p/f7c4526a4b7148cfd4ee01a5e7694514ea81181f.jpg
483,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR 32POUCES HISENSE LED 32A5200
</h1>",Neuf,Hisense,69 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/804d7f676351342ff87a82fe3aa0a3d2/-/horizon-files-prod/ed/picture/q6xd8k47/461a22b862df1efbd8687e0ee0dbd46ebaa6e2d8.jpg
484,"<h1 class=""listing-item__header"">
    Samsung 85CU8000D 4K 2023
</h1>",Neuf,Samsung,1 300 000 ,Guediawaye,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c4e50494cb209924d3a029a22758805/-/horizon-files-prod/ed/picture/qxj2e2xw/9b6b582ce680120b1df8e4f0b00185923f33a5ef.jpg
485,"<h1 class=""listing-item__header"">
    Enceinte Bluetooth USB Radio Bectel Woofer 2150R+
</h1>",Neuf,Bectel,35 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/041ffa4ef2e77045c8e64d6c9fa79df4/-/horizon-files-prod/ed/picture/qxj60gv4/fabf7f0bc18cca93153b0ec4d9ecc3cf65d406a0.jpg
486,"<h1 class=""listing-item__header"">
    BARRE DE SON SONY 33W HTS400
</h1>",Neuf,Sony,198 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/404441d66adc9051901b05190fc387ae/-/horizon-files-prod/ed/picture/q9mjx9m8/99878fd0bc4bc373afd7f9e357666b4379b6717c.jpg
487,"<h1 class=""listing-item__header"">
    BARRE DE SON HISENSE 200W HS218 2.1
</h1>",Neuf,Hisense,110 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e3a8e3cdc8db0ddebc4868bf02f160f/-/horizon-files-prod/ed/picture/qxjp92d0/b265655dc085389567f4e1ff35933efa2d7d6a51.jpg
488,"<h1 class=""listing-item__header"">
    BARRE DE SON SAMSUNG A450
</h1>",Neuf,Samsung,129 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1cee44b3b012dc086b768fa6f0fcab45/-/horizon-files-prod/ed/picture/q6xd8k7g/dee5ab26bd43cbfecac91a9a08c77a19011b6708.jpg
489,"<h1 class=""listing-item__header"">
    BARRE DE SON LG SQC1
</h1>",Neuf,LG,119 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cbae214152b0118ab0c272de7d658bc2/-/horizon-files-prod/ed/picture/q44nw8jv/9798c9636566bb92eeedcc24fa940a7beaf49c01.jpg
490,"<h1 class=""listing-item__header"">
    BARRE DE SON SONY 600W HTS40R
</h1>",Neuf,Sony,229 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49c71a84f50d45148850531bda02513c/-/horizon-files-prod/ed/picture/qwep02m0/b45f21b4570b1ee19897fb72037ee755ab5d5f30.jpg
491,"<h1 class=""listing-item__header"">
    BARRE DE SON HISENSE 240W HS2100 2.1
</h1>",Neuf,Hisense,129 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fcfd0fae1eb16a9c0be9da05545e08d3/-/horizon-files-prod/ed/picture/qngp8x5k/2e68928ed1b040f93990c8a21ab895255668d9b9.jpg
492,"<h1 class=""listing-item__header"">
    BARRE DE SON HISENSE 420W AX312G 3.1.2
</h1>",Neuf,Hisense,189 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1df6fc9ba51e98cfd1544f73b26403db/-/horizon-files-prod/ed/picture/q0g7vwpz/ac276ebb41286c6e30bc4e7a540f0b6de3744771.jpg
493,"<h1 class=""listing-item__header"">
    BARRE DE SON HISENSE 120W HS212 2.1
</h1>",Neuf,Hisense,89 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/93b03f109d0fe8bcbf070dd2bf06c0f4/-/horizon-files-prod/ed/picture/q6xd8k7v/8651fed3f076f0cb7a994a89bcfbf48128342ac5.jpg
494,"<h1 class=""listing-item__header"">
    BARRE DE SON SONY 400W HTS20R
</h1>",Neuf,Sony,179 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a8fadf02842ee97af584690aceda3cc7/-/horizon-files-prod/ed/picture/q2j09qzq/68db9b1a9924af059464f4a6d343d7dcecfd6477.jpg
495,"<h1 class=""listing-item__header"">
    BARRE DE SON SONY 120W HTS100F
</h1>",Neuf,Sony,89 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7bacaf6f4476181f0d052729e181d6e6/-/horizon-files-prod/ed/picture/qgqw7g22/ad84e3b370a08abdbc2fdf7979ed210a51f2b0b6.jpg
496,"<h1 class=""listing-item__header"">
    BARRE DE SON LG 600WATTS SNH5
</h1>",Neuf,Sony,219 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b99f0ceb1cb259f1dd343472b5f5d5db/-/horizon-files-prod/ed/picture/qj4q9rm4/16749d7160a43e0d4993ebb6346b5bd201bfc0e2.jpg
497,"<h1 class=""listing-item__header"">
    Tv 32 pouce Samsung smart tv
</h1>",Neuf,Samsung,129 900 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ddeb765a95b0e81a36c22e30ca9a03a0/-/horizon-files-prod/ed/picture/qngpng2k/20c2f5046e75e8de84a21288ba147776050e8aa7.jpg
498,"<h1 class=""listing-item__header"">
    Smart TV 55 deska
</h1>",Neuf,Autre,195 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/32ce9e760649b57ff1672b048dec87ed/-/horizon-files-prod/ed/picture/qm5gdrem/9d27eb45390aed3feee5c6d443053e6b76d5f1df.jpg
499,"<h1 class=""listing-item__header"">
    SMART TV TCL 65 POUCES WIFI 4K ANDROID GOOGLE TV
</h1>",Neuf,TCL,370 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff77a65e8ab5ebaf9e824dd90500b2cd/-/horizon-files-prod/ed/picture/q56dz0ze/ea917360238d5b02046524f416fb3fe8c1ee435b.jpg
500,"<h1 class=""listing-item__header"">
    TELEVISEUR HAIER 55 POUCES, LED TV, Smart, 4K UHD
</h1>",Neuf,Haier,250 000 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ed069ef029f7328776bea4423f4a0b2/-/horizon-files-prod/ed/picture/q78wxxm8/e9ae7ecee06cb830956ebd5e101c03e065824d52.jpg
501,"<h1 class=""listing-item__header"">
    Support TV sur roulettes 32"" - 55"" pouces VESA 400*400
</h1>",Neuf,Autre,35 000 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a09e2e9463d276fd01fcd7095879d02b/-/horizon-files-prod/ed/picture/q56d28n6/27f6ebc4ed22c1658410b102d9d3c9444ef65454.jpg
502,"<h1 class=""listing-item__header"">
    Tv 43 pouce west smart tv
</h1>",Neuf,Autre,110 000 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/059b3b7442f8e9954c2bd3195d86423a/-/horizon-files-prod/ed/picture/qrz85z8q/bb32107303fd0a55c01bff89ffd029b28eb54a3e.jpg
503,"<h1 class=""listing-item__header"">
    SMART TV TCL 75 POUCES 4K ANDROID GOOGLE TV 189 CM
</h1>",Neuf,TCL,550 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9276374c2a8b2033a673a5d54281e242/-/horizon-files-prod/ed/picture/qwep52w5/373fcbfe7aac235c7a94cdec78df321074f5df35.jpg
504,"<h1 class=""listing-item__header"">
    TELEVISEUR HAIER 43 POUCES, LED TV, Smart
</h1>",Neuf,Haier,135 000 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/41f781da09cfd53cc117fcfb123ac167/-/horizon-files-prod/ed/picture/qgqw440k/f4ed24f941f62f3e3f70c71f8af49ade2da1494a.jpg
505,"<h1 class=""listing-item__header"">
    SMART TV 43 POUCES ANDROID 108 CM
</h1>",Neuf,Autre,134 900 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b02a8b01184e01cd93dc9f71c271f193/-/horizon-files-prod/ed/picture/qvrm4xp/5ca096f970d264d18dcfdb9b1fdbae1129e42643.jpg
506,"<h1 class=""listing-item__header"">
    TÉLÉVISION SMART TV ASTECH 50 POUCES 4K UHD PROMOTIONS
</h1>",Neuf,Astech,260 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f9968be60ecb2616520da4b5c512166/-/horizon-files-prod/ed/picture/q9mj6dgv/35aaa4850c312df8f2243709e81cb93781f40249.jpg
507,"<h1 class=""listing-item__header"">
    LED SMART TV astech 65 pouces
</h1>",Neuf,Astech,390 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/52edb1b646ad49c06c53fc2b1708c3cd/-/horizon-files-prod/ed/picture/q2jrnedq/5b721c26d2be553ffdda1a76cd6fcde6d9b856ec.jpg
508,"<h1 class=""listing-item__header"">
    Samsung cu 8000 75 pouces
</h1>",Venant,Samsung,500 000 ,Liberte 6 extension,https://i.roamcdn.net/hz/ed/listing-thumb-543w/45677559a4eefd283281a3cb52319f8e/-/horizon-files-prod/ed/picture/q9mj26ep/df47aa6a48307afc27f83fcfad81a5db40e6f614.jpg
509,"<h1 class=""listing-item__header"">
    Écran plat 43 pouces marque Hisense à vendre
</h1>",D'occasion,Hisense,200 000 ,Ouakam,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cdf1364cac2f87b8cb1ad39cb8148b95/-/horizon-files-prod/ed/picture/qj4qdv2e/0dcf3d685e352fa8e930a12ab85c74a828b58fed.jpg
510,"<h1 class=""listing-item__header"">
    smart lg 55"" uhd 4k full options
</h1>",Neuf,LG,330 000 ,Ouakam,https://i.roamcdn.net/hz/ed/listing-thumb-543w/09a071ada9c20c5b994c137657dd2229/-/horizon-files-prod/ed/picture/q56d27v7/a6c40b4df98e457d407095c2b3b73e0d0a9995f5.jpg
511,"<h1 class=""listing-item__header"">
    LG 75 UT80 (2024) 🇺🇸
</h1>",Neuf,LG,800 000 ,Sicap foire,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ef4332dcb88451f42cbd08276f374cea/-/horizon-files-prod/ed/picture/qwepjm0g/d4655b7668b8ed33683c33afb1a3c7e2eb1d08cd.jpg
512,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR WEST 43""SMART ANDROID 43ZBD20W
</h1>",Neuf,Autre,110 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4feafa9e75329f9240f3f806d33e0ad0/-/horizon-files-prod/ed/picture/qde7zx02/2d5db03c48424d988dd371fe3f8e7ca9dd80cad5.jpg
