,details,Etat,Marque,Prix,Adresse,Image_link
18,"<h1 class=""listing-item__header"">
    SMART LG 55"" UHD 4K (2024)
</h1>",Neuf,LG,350 000 ,Pikine,https://i.roamcdn.net/hz/ed/listing-thumb-543w/079b997a371e521ca91c31ecf23a7e7b/-/horizon-files-prod/ed/picture/qm5g7wjw/e918cd2e234ac57c128c9611e79257dd81368853.jpg
19,"<h1 class=""listing-item__header"">
    Télévision WIWlil 32 pouces smart tv
</h1>",Neuf,Autre,68 000 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b7c467a6b6cdf28b2b0b66dad5cb50c5/-/horizon-files-prod/ed/picture/qq42g5zv/658a4cdb7f4deee2475d6e00bbacfa55d4706eef.jpg
20,"<h1 class=""listing-item__header"">
    Télévision wiwlil 43 pouces smart tv
</h1>",Neuf,Autre,115 000 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b9b3dab3c1e661b84383ed1c8fbb532/-/horizon-files-prod/ed/picture/qpdm2jgx/20e1b3ab23af1af9da15ce27d597021dc5aae75c.jpg
21,"<h1 class=""listing-item__header"">
    Smart TV 43 ASTECH Android
</h1>",Neuf,Astech,135 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6847f8150172a68a600b98a762da85dd/-/horizon-files-prod/ed/picture/qkrgp4zm/3ec9ad611dedd9ff83d0c9a64e2ca75ddc380fe6.jpg
22,"<h1 class=""listing-item__header"">
    Samsung QLED 65"" The Frame (2024)
</h1>",Neuf,Samsung,850 000 ,Pikine,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1f9eda96c00f51376d8334f761a2eb52/-/horizon-files-prod/ed/picture/qenvexjj/48cada6b32c7e207dee8ccacb736c2e8846e1d67.jpg
23,"<h1 class=""listing-item__header"">
    SMART TV FINIX 43 POUCES WIFI 10.8CM
</h1>",Neuf,Autre,145 000 ,Keur Massar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/327d4290b564325d4eab75c05e537ef0/-/horizon-files-prod/ed/picture/q6xdj8d4/8413d3b5aa91326d6cd9dbada5d78459c9ed4e6c.jpg
24,"<h1 class=""listing-item__header"">
    Vidéoprojecteur ANDROID Wifi BT 170 pouces (4,31m)
</h1>",Neuf,Autre,35 000 ,Patte d‘oie,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17b50caa4e19c1514f4c70ef869ade21/-/horizon-files-prod/ed/picture/qrz8ejr2/149b9922d8bf263d5e255d143bce97aef1bff0ec.jpg
25,"<h1 class=""listing-item__header"">
    Airflux Smart Tv 32 pouves + Abonnement IP TV intégré 1 an
</h1>",Neuf,Autre,85 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7f85d4d7c80ca9d38dca258b566035e/-/horizon-files-prod/ed/picture/qm5gevz9/9760003fa2a95a8ff5883b7b9c86630a6e8e5682.png
26,"<h1 class=""listing-item__header"">
    SONY BRAVIA 85"" Google TV 4K
</h1>",Neuf,Sony,1 500 000 ,Patte d‘oie,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f7fcafce62075976f14a229ed75449b/-/horizon-files-prod/ed/picture/q56dkgzr/8df88d71128673c48709e6a19a7d5c4422f84059.jpg
27,"<h1 class=""listing-item__header"">
    smart samsung 65"" uhd 4k full options
</h1>",Neuf,Samsung,480 000 ,Ouakam,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d35adcf1305c9a215cdbf4f44f95f59/-/horizon-files-prod/ed/picture/q44n2jwp/5e94d47e5d38bf80fcd32aea70f837eb4c1759ee.jpg
28,"<h1 class=""listing-item__header"">
    ASTECH TV LED 43 POUCES SMART TV WiFi
</h1>",Neuf,Astech,160 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c3262eb920a99561bdc2f69f13399fcb/-/horizon-files-prod/ed/picture/qmkj9e2/6fcd8080094b3e2cda0948f877747498aa54135a.jpg
29,"<h1 class=""listing-item__header"">
    Support TV de 24"" à 75"" pouces
</h1>",Neuf,Autre,17 000 ,Grand-Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d093bba44e5bf2fc710fd5d35c15d0b/-/horizon-files-prod/ed/picture/q2jr98nv/1202541923cf2c9f8970bed04fe5b6f793fe9d9c.jpg
30,"<h1 class=""listing-item__header"">
    SAMSUNG SMART 70"" UHD 4K
</h1>",Neuf,Samsung,650 000 ,Pikine,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd086ba7ada78676aefe96ab3c31b69b/-/horizon-files-prod/ed/picture/qv4wrnxk/85fe02f936d4a1b8e6f9bb4158e83d9c77171578.jpg
31,"<h1 class=""listing-item__header"">
    tv smart haier 43"" android full options
</h1>",Neuf,Haier,160 000 ,Ouakam,https://i.roamcdn.net/hz/ed/listing-thumb-543w/531e20903de60f6e6cfa91bdbc9e284e/-/horizon-files-prod/ed/picture/q78w56wd/fa60dbe1081489d1740fb43c9c561429d65c3b11.jpg
32,"<h1 class=""listing-item__header"">
    Tcl smart tv 75 pouces WiFi 4K USB UHD
</h1>",Neuf,TCL,550 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/866fb1a35dd8a0767c6d2041a047f2a7/-/horizon-files-prod/ed/picture/qwepwz5k/3f2581487df35df910020340d3320083a741e073.jpg
33,"<h1 class=""listing-item__header"">
    Led Tv 24 pouces Star track télévision
</h1>",Neuf,Star,50 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64f2b113412ee67dd99af0a17de7a95e/-/horizon-files-prod/ed/picture/q566kd7g/e10710796a654756e21f5712cae2f10488cbeb22.jpg
34,"<h1 class=""listing-item__header"">
    Televison wiwlil 65pouces smart tv
</h1>",Neuf,Autre,280 000 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9f02e1c5b79b577d054ada1801cc1a0/-/horizon-files-prod/ed/picture/q6xdmg2j/e1ed68d5e67f8111c13dae73cea2b9faa7a6091e.jpg
35,"<h1 class=""listing-item__header"">
    Télévision Wiwlil 43 pouces smart tv
</h1>",Neuf,Autre,107 000 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/838a2be679f043b77b8aab4f5115ccbb/-/horizon-files-prod/ed/picture/q0g75nvm/c929eca654d6c683d35c4bc218902070edc33cc2.jpg
36,"<h1 class=""listing-item__header"">
    TÉLÉVISION 55 POUCES SMART TV
</h1>",Neuf,Autre,188 000 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1043aa4c7b8564dedc8222c97a1b0b10/-/horizon-files-prod/ed/picture/q78wg2m5/00da0a920607473ed23a3dfe67bf01be66394a81.jpg
37,"<h1 class=""listing-item__header"">
    Tv 50 pouce smart tv smart tv
</h1>",Neuf,Autre,169 900 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f615f04d40afd616376ca7a2f06eb58a/-/horizon-files-prod/ed/picture/qwep7zxz/6e7018d3df0ae9bf03fad3f476e580467a8bceea.jpg
38,"<h1 class=""listing-item__header"">
    Tv hisense 70 pouce smart tv
</h1>",Neuf,Hisense,499 900 ,Colobane,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b7332a0b50681b146209cfba856e9db/-/horizon-files-prod/ed/picture/qngpedvg/b98def936d8b5f9e9497bb6d0af8b12140663afc.jpg
39,"<h1 class=""listing-item__header"">
    Smart TV 32 pouces Marque Deska
</h1>",Neuf,Autre,70 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64441f95b9fc50a236becfd385022489/-/horizon-files-prod/ed/picture/qm5ggkg6/557a20241a06068092fd3e462d6dd84162fc5db5.jpg
40,"<h1 class=""listing-item__header"">
    SMART LG 55"" UHD 4K (2024)
</h1>",Neuf,LG,380 000 ,Pikine,https://i.roamcdn.net/hz/ed/listing-thumb-543w/edadf2f2331771022b6c0f64de984e77/-/horizon-files-prod/ed/picture/qngpknw0/95864f82a714a33621e2be06d5c3b70418d59f4c.jpg
41,"<h1 class=""listing-item__header"">
    LG SMART 86"" UHD 4K (2024)
</h1>",Neuf,LG,1 400 000 ,Patte d‘oie,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d5e1638a4152a5f80986ff1aad8d0c9/-/horizon-files-prod/ed/picture/q9mjzwj0/7a68866a69c5aaf30406d0e90daed860f75352bb.jpg
42,"<h1 class=""listing-item__header"">
    Gros électronic électroménager smart tv
</h1>",Neuf,Astech,380 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/62a747a0c7169d00b120cf0f53a45dde/-/horizon-files-prod/ed/picture/qv4ez8jg/509ca4e1b1fd0e173a6559e246fd75b712159bd3.jpg
